"Table 20. Global production of refined secondary copper, the three leading producing countries, and the concentration ratio of the top three producing countries (thousand metric tons).",,,,,,,,,
Year,World refined secondary production,U.S. refined secondary production,Concentration ratio,1st Refined secondary production,1st Country,2nd Refined secondary production,2nd Country,3rd Refined secondary production,3rd Country
1990," 	1,740.00 ", 	441.00 , 	0.32 , 	272.00 ,W. Germany, 	160.00 ,China, 	130.00 ,USSR
1991," 	1,710.00 ", 	418.00 , 	0.35 , 	318.30 ,W. Germany, 	160.00 ,China, 	120.00 ,USSR
1992," 	1,830.00 ", 	433.00 , 	0.38 , 	345.40 ,Germany, 	229.00 ,China, 	114.70 ,Japan
1993," 	1,750.00 ", 	460.00 , 	0.41 , 	361.50 ,Germany, 	245.00 ,China, 	103.00 ,Belgium/Lux.
1994," 	1,670.00 ", 	392.00 , 	0.45 , 	339.00 ,Germany, 	254.00 ,China, 	160.00 ,Belgium/Lux.
1995," 	1,970.00 ", 	352.00 , 	0.51 , 	467.00 ,China, 	369.00 ,Germany, 	160.00 ,Belgium/Lux.
1996," 	1,980.00 ", 	345.00 , 	0.48 , 	428.00 ,China, 	355.00 ,Germany, 	163.00 ,Belgium/Lux.
1997," 	2,090.00 ", 	396.00 , 	0.45 , 	379.00 ,China, 	375.80 ,Germany, 	183.00 ,Belgium/Lux.
1998," 	1,990.00 ", 	349.00 , 	0.47 , 	421.00 ,Germany, 	341.00 ,China, 	183.00 ,Belgium/Lux.
1999," 	1,920.00 ", 	230.00 , 	0.51 , 	454.00 ,Germany, 	338.00 ,China, 	187.00 ,Belgium/Lux.
2000," 	1,960.00 ", 	208.00 , 	0.53 , 	464.40 ,Germany, 	347.00 ,China, 	220.00 ,Russia
2001," 	1,760.00 ", 	172.00 , 	0.50 , 	341.40 ,Germany, 	300.00 ,China, 	244.50 ,Russia
2002," 	1,730.00 ", 	69.90 , 	0.54 , 	368.79 ,Germany, 	350.00 ,China, 	216.00 ,Belgium/Lux.
2003," 	1,780.00 ", 	53.30 , 	0.54 , 	430.00 ,China, 	310.93 ,Germany, 	215.00 ,Belgium/Lux.
2004," 	2,080.00 ", 	50.80 , 	0.59 , 	620.00 ,China, 	368.96 ,Germany, 	237.00 ,Russia
2005," 	2,140.00 ", 	47.20 , 	0.63 , 	750.00 ,China, 	344.40 ,Germany, 	249.00 ,Russia
2006," 	2,560.00 ", 	44.80 , 	0.65 ," 	1,000.00 ",China, 	350.00 ,Germany, 	312.00 ,Russia
2007," 	2,770.00 ", 	46.00 , 	0.67 ," 	1,200.00 ",China, 	363.82 ,Germany, 	289.00 ,Russia
2008," 	2,780.00 ", 	53.80 , 	0.66 ," 	1,200.00 ",China, 	389.30 ,Germany, 	250.00 ,Russia
2009," 	2,880.00 ", 	46.40 , 	0.70 ," 	1,400.00 ",China, 	378.70 ,Germany, 	250.00 ,Russia
2010," 	2,900.00 ",--, 	0.80 ," 	1,700.00 ",China, 	378.70 ,Germany, 	250.00 ,Russia
