"Table 27. Global production of mined graphite, the three leading producing countries, and the concentration ratio of the top three producing countries (thousand metric tons).",,,,,,,,
,,,,,,,,
Year,World refined production,Concentration ratio,1st Refined production,1st Country,2nd Refined production,2nd Country,3rd Refined production,3rd Country
1990, 	946.00 , 	0.67 , 	455.00 ,China, 	99.00 ,S. Korea, 	80.00 ,USSR
1991, 	771.00 , 	0.57 , 	289.00 ,China, 	75.20 ,S. Korea, 	75.00 ,USSR
1992, 	670.00 , 	0.63 , 	300.00 ,China, 	73.00 ,India, 	50.00 ,Ukraine
1993, 	648.00 , 	0.67 , 	310.00 ,China, 	82.40 ,India, 	40.00 ,Ukraine
1994, 	517.00 , 	0.61 , 	183.00 ,China, 	93.60 ,India, 	38.00 ,N. Korea
1995, 	584.00 , 	0.64 , 	204.00 ,China, 	129.37 ,India, 	40.00 ,N. Korea
1996, 	555.00 , 	0.61 , 	185.00 ,China, 	115.23 ,India, 	40.00 ,N. Korea
1997, 	685.00 , 	0.66 , 	310.00 ,China, 	102.14 ,India, 	40.00 ,N. Korea
1998, 	651.00 , 	0.66 , 	224.00 ,China, 	143.33 ,India, 	61.37 ,Brazil
1999, 	692.00 , 	0.72 , 	300.00 ,China, 	145.00 ,India, 	53.50 ,Brazil
2000, 	846.00 , 	0.76 , 	430.00 ,China, 	140.00 ,India, 	71.21 ,Brazil
2001, 	816.00 , 	0.81 , 	450.00 ,China, 	140.00 ,India, 	70.09 ,Brazil
2002, 	932.00 , 	0.88 , 	629.00 ,China, 	130.00 ,India, 	60.92 ,Brazil
2003, 	999.00 , 	0.89 , 	710.00 ,China, 	110.00 ,India, 	70.74 ,Brazil
2004," 	1,010.00 ", 	0.89 , 	700.00 ,China, 	120.00 ,India, 	76.33 ,Brazil
2005," 	1,030.00 ", 	0.90 , 	720.00 ,China, 	130.00 ,India, 	75.52 ,Brazil
2006," 	1,020.00 ", 	0.90 , 	720.00 ,China, 	120.00 ,India, 	76.19 ,Brazil
2007," 	1,110.00 ", 	0.91 , 	800.00 ,China, 	130.00 ,India, 	77.16 ,Brazil
2008," 	1,120.00 ", 	0.77 , 	650.00 ,China, 	140.00 ,India, 	77.20 ,Brazil
2009," 	1,090.00 ", 	0.60 , 	450.00 ,China, 	130.00 ,India, 	77.20 ,Brazil
2010," 	1,200.00 ", 	0.85 , 	800.00 ,China, 	140.00 ,India, 	77.20 ,Brazil
