"Table 45. Global production of mined nickel, the three leading producing countries, and the concentration ratio of the top three producing countries (thousand metric tons).",,,,,,,,
,,,,,,,,
Year,World mine production,Concentration ratio,1st Mine production,1st Country,2nd Mine production,2nd Country,3rd Mine production,3rd Country
1990, 	974 , 	0.58 , 	280.00 ,USSR, 	196.00 ,Canada, 	85.10 ,New Caledonia
1991," 	1,010 ", 	0.58 , 	280.00 ,USSR, 	192.26 ,Canada, 	114.49 ,New Caledonia
1992," 	1,010 ", 	0.57 , 	280.00 ,Russia, 	186.38 ,Canada, 	113.00 ,New Caledonia
1993, 	928 , 	0.57 , 	244.00 ,Russia, 	188.08 ,Canada, 	97.09 ,New Caledonia
1994, 	932 , 	0.52 , 	240.00 ,Russia, 	149.89 ,Canada, 	97.32 ,New Caledonia
1995," 	1,040 ", 	0.53 , 	251.00 ,Russia, 	181.82 ,Canada, 	119.91 ,New Caledonia
1996," 	1,060 ", 	0.51 , 	230.00 ,Russia, 	192.65 ,Canada, 	122.49 ,New Caledonia
1997," 	1,140 ", 	0.53 , 	280.00 ,Russia, 	190.53 ,Canada, 	136.47 ,New Caledonia
1998," 	1,180 ", 	0.54 , 	290.00 ,Russia, 	208.30 ,Canada, 	143.51 ,Australia
1999," 	1,170 ", 	0.52 , 	300.00 ,Russia, 	186.24 ,Canada, 	119.60 ,Australia
2000," 	1,290 ", 	0.52 , 	315.00 ,Russia, 	190.79 ,Canada, 	166.50 ,Australia
2001," 	1,350 ", 	0.53 , 	320.00 ,Russia, 	205.00 ,Australia, 	194.06 ,Canada
2002," 	1,350 ", 	0.51 , 	310.00 ,Russia, 	189.30 ,Canada, 	188.00 ,Australia
2003," 	1,330 ", 	0.46 , 	259.16 ,Russia, 	190.21 ,Australia, 	163.24 ,Canada
2004," 	1,370 ", 	0.46 , 	268.55 ,Russia, 	168.80 ,Australia, 	186.70 ,Canada
2005," 	1,460 ", 	0.46 , 	277.18 ,Russia, 	199.93 ,Canada, 	188.90 ,Australia
2006," 	1,570 ", 	0.44 , 	277.00 ,Russia, 	232.95 ,Canada, 	185.00 ,Australia
2007," 	1,670 ", 	0.46 , 	279.77 ,Russia, 	254.92 ,Canada, 	229.00 ,Indonesia
2008," 	1,560 ", 	0.47 , 	266.81 ,Russia, 	259.65 ,Canada, 	199.20 ,Australia
2009," 	1,400 ", 	0.45 , 	261.85 ,Russia, 	202.80 ,Indonesia, 	165.00 ,Australia
