Table81.StatisticsonU.S.usageofselectprocessedmineralcommodities.,,,,,
,2005,2006,2007,2008,2009
Aluminum(000mt)Consumption,"6,530","5,700","5,170","3,940","3,320"
Aluminum(000mt)Production,--,--,--,--,--
Aluminum(000mt)Primary,"2,481","2,284","2,554","2,658","1,727"
Aluminum(000mt)Secondary,"3,030","4,380","4,120","3,630","2,820"
Aluminum(000mt)Exports,"2,370","2,820","2,840","3,280","2,710"
Aluminum(000mt)Imports,"5,330","5,180","4,490","4,200","4,110"
Aluminum(000mt)1st,Canada,Canada,Canada,Canada,Canada
Aluminum(000mt)2nd,Russia,Russia,Russia,Russia,Russia
Aluminum(000mt)3rd,China,China,China,China,China
Antimony(mt)Consumption,"9,140","10,500","9,690","8,140","6,770"
Antimony(mt)Production,"3,620","3,520","3,480","3,180","3,020"
Antimony(mt)Exports,740,459,305,366,385
Antimony(mt)Imports,"6,370","7,260","5,920","7,050","4,750"
Antimony(mt)1st,China,China,China,China,China
Antimony(mt)2nd,Mexico,Peru,Mexico,Mexico,Mexico
Antimony(mt)3rd,Belgium,Mexico,Belgium,Peru,Peru
Bismuth(mt)Consumption,"2,390","1,960","2,630","1,090",820
Bismuth(mt)Production,--,--,--,--,--
Bismuth(mt)Exports,142,311,421,375,397
Bismuth(mt)Imports,"2,530","2,300","3,070","1,930","1,250"
Bismuth(mt)1st,Belgium,Belgium,UnitedKingdom,China,China
Bismuth(mt)2nd,China,Mexico,Belgium,Belgium,Belgium
Bismuth(mt)3rd,Mexico,UnitedKingdom,China,UnitedKingdom,SouthKorea
Boron(000mt)Consumption,W,W,W,W,W
Boron(000mt)Production,W,W,W,W,W
Boron(000mt)Exports,183,221,248,303,171
Boron(000mt)Imports,52,85,67,50,36
Boron(000mt)1st,Turkey,Turkey,Turkey,Turkey,Turkey
Boron(000mt)2nd,Chile,Chile,Chile,Chile,Chile
Boron(000mt)3rd,Peru,Bolivia,Bolivia,Bolivia,Russia
Cadmium(mt)Consumption,"2,060",530,594,528,199
Cadmium(mt)Production,"1,470",723,735,777,633
Cadmium(mt)Exports,686,483,424,421,661
Cadmium(mt)Imports,288,180,316,197,122
Cadmium(mt)1st,Mexico,Australia,Mexico,Canada,Australia
Cadmium(mt)2nd,Australia,Canada,Australia,Australia,Peru
Cadmium(mt)3rd,Canada,India,Canada,Mexico,Canada
Chromium(mt)FerrochromiumConsumption,"548,000","589,000","493,000","432,000","160,000"
Chromium(mt)FerrochromiumProduction,W,W,W,W,W
Chromium(mt)FerrochromiumExports,,,,"998,000","411,000"
Chromium(mt)FerrochromiumImports,"264,000","249,000","242,000","297,000","137,000"
Chromium(mt)1st,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
Chromium(mt)2nd,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Chromium(mt)3rd,Russia,Russia,Russia,Russia,Russia
StainlessSteelConsumption,"1,480,000","1,500,000","1,430,000","1,330,000","1,260,000"
StainlessSteelProduction,"373,000","419,000","360,000","324,000","276,000"
StainlessSteelExports,"371,000","410,000","476,000","471,000","414,000"
StainlessSteelImports,"770,000","872,000","809,000","783,000","416,000"
Cobalt(mt),2005,2006,2007,2008,2009
Cobalt(mt)Consumption,--,--,--,--,--
Cobalt(mt)Reported,"9,150","9,280","9,320","8,810","7,460"
Cobalt(mt)Apparent,"11,800","11,000","9,630","10,100","7,520"
Cobalt(mt)Exports,"2,440","2,850","3,100","2,850","2,440"
Cobalt(mt)Imports,"9,350","9,950","8,960","8,430","7,680"
Cobalt(mt)1st,Norway,Russia,Norway,Norway,Norway
Cobalt(mt)2nd,Russia,Norway,Russia,China,Russia
Cobalt(mt)3rd,Canada,China,Canada,Russia,Canada
Copper(mt)ConsumptionReported,"2,270,000","2,110,000","2,140,000","2,020,000","1,650,000"
Copper(mt)ConsumptionApparent,"2,420,000","2,200,000","2,270,000","1,990,000","1,580,000"
Copper(mt)Production,"2,762,175","2,740,076","2,875,320","2,718,655","2,554,082"
Copper(mt)Smelter,"523,575","501,576","617,720","574,655","597,682"
Copper(mt)Refinery,"1,260,000","1,250,000","1,310,000","1,270,000","1,160,000"
Copper(mt)Secondary,"953,000","969,000","925,000","852,000","774,000"
Copper(mt)Copper-Sulfate,"25,600","19,500","22,600","22,000","22,400"
Copper(mt)Exports,"39,500","106,000","51,100","36,500","80,800"
Copper(mt)Imports,"1,000,000","1,070,000","829,000","724,000","664,000"
Copper(mt)1st,Chile,Chile,Chile,Chile,Chile
Copper(mt)2nd,Canada,Canada,Canada,Canada,Canada
Copper(mt3rd,Peru,Peru,Peru,Peru,Peru
Gallium(kg)Consumption,"18,700","20,300","25,100","28,700","24,900"
Gallium(kg)Production,--,--,--,--,--
Gallium(kg)Exports,--,--,--,--,--
Gallium(kg)Imports,"15,800","26,900","37,100","41,100","35,900"
Gallium(kg)1st,Japan,China,Germany,Germany,Canada
Gallium(kg)2nd,Russia,Ukraine,Canada,Canada,Germany
Gallium(kg)3rd,Hungary,Germany,Ukraine,China,UnitedKingdom
Germanium(kg),2005,2006,2007,2008,2009
